date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,45837,4502000,4502000,4502000,1,1
2020-03-30,10000043,45838,1050000,1050000,1050000,1,1
2020-03-30,10000043,45839,1998997.94,1998997.94,1998997.94,1,1
2020-03-30,10000043,45841,600000,600000,600000,1,1
2020-03-30,10000043,45842,1990000,1990000,1990000,1,1
2020-03-30,10000043,45843,32500000,32500000,32500000,1,1
2020-03-30,10000043,45844,3500000,3500000,3500000,1,1
2020-03-30,10000043,45845,2551000,2551000,2551000,1,1
2020-03-30,10000043,45846,3886000,3886000,3886000,1,1
2020-03-30,10000043,45848,200000,200000,200000,1,1
2020-03-30,10000043,45849,700000,700000,700000,1,1
2020-03-30,10000043,45850,588888,588888,588888,1,1
2020-03-30,10000043,45851,10000000,10000000,10000000,1,1
2020-03-30,10000043,45853,3000000,3000000,3000000,1,1
2020-03-30,10000043,45854,4500000,4500000,4500000,1,1
2020-03-30,10000043,45855,6740000,6740000,6740000,1,1
2020-03-30,10000043,45857,6990000,6990000,6990000,1,1
2020-03-30,10000043,45858,4360000,4360000,4360000,1,1
2020-03-30,10000043,45869,940100,940100,940100,1,1
2020-03-30,10000043,45870,99500,99500,99500,1,1
2020-03-30,10000043,45871,85000.01,0.02,170000,2,2
2020-03-30,10000043,45872,90000.01,0.02,180000,4,4
2020-03-30,10000043,45873,39000,39000,39000,1,1
2020-03-30,10000043,45874,89000,88000,90000,2,2
2020-03-30,10000043,45875,17990,17990,17990,1,1
2020-03-30,10000043,45876,438800,438800,438800,1,1
2020-03-30,10000043,45877,900000,900000,900000,1,1
2020-03-30,10000043,45878,700000,700000,700000,1,1
2020-03-30,10000043,45881,150000,150000,150000,1,1
2020-03-30,10000043,45882,500000,500000,500000,1,1
2020-03-30,10000043,45883,250100,250100,250100,1,1
2020-03-30,10000043,45885,1000000,1000000,1000000,2,2
2020-03-30,10000043,45886,250000,250000,250000,1,1
2020-03-30,10000043,45887,1198333.33,1195000,1200000,3,3
2020-03-30,10000043,45888,225000.5,1,450000,2,2
2020-03-30,10000043,45889,600000,600000,600000,1,1
2020-03-30,10000043,45890,98888,98888,98888,1,1
2020-03-30,10000043,45891,1199000,1199000,1199000,1,1
2020-03-30,10000043,45892,300000,200000,400000,2,2
2020-03-30,10000043,45893,50000,50000,50000,1,1
2020-03-30,10000043,45894,724999.96,724999.96,724999.96,1,1
2020-03-30,10000043,45895,2000000,2000000,2000000,1,1
2020-03-30,10000043,45896,145000,140000,150000,2,2
2020-03-30,10000043,45897,5800000,5800000,5800000,1,1
2020-03-30,10000043,45898,550000,550000,550000,1,1
2020-03-30,10000043,45899,1000000,1000000,1000000,1,1
2020-03-30,10000043,45900,1499999.99,1499999.99,1499999.99,1,1
2020-03-30,10000043,45901,8490000,8490000,8490000,1,1
2020-03-30,10000043,45903,449999.95,449999.95,449999.95,1,1
2020-03-30,10000043,45905,1800000,1800000,1800000,1,1
2020-03-30,10000043,45906,850000,850000,850000,1,1
2020-03-30,10000043,45907,1300000,1300000,1300000,1,1
2020-03-30,10000043,45908,2499000,2499000,2499000,1,1
2020-03-30,10000043,45909,395000,390000,400000,2,2
2020-03-30,10000043,45910,4500000,4500000,4500000,1,1
