average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
221.06,2020-09-30,221.06,221.06,9,72290,10000001,20,2021-06-18T11:01:58Z
8,2020-09-30,8,8,32,367162055,10000001,34,2021-06-18T11:01:58Z
4.5,2020-09-30,4.5,4.5,34,58584818,10000001,35,2021-06-18T11:01:58Z
80,2020-09-30,80,80,25,9360346,10000001,36,2021-06-18T11:01:58Z
33.08,2020-09-30,48,23.1,23,54768,10000001,37,2021-06-18T11:01:58Z
400,2020-09-30,990,312,15,61558,10000001,38,2021-06-18T11:01:58Z
870,2020-09-30,870,870,10,15401,10000001,39,2021-06-18T11:01:58Z
334,2020-09-30,334,334,14,35310,10000001,40,2021-06-18T11:01:58Z
6,2020-09-30,6,6,3,11483,10000001,178,2021-06-18T11:01:58Z
0.05,2020-09-30,0.05,0.05,2,200,10000001,179,2021-06-18T11:01:58Z
0.05,2020-09-30,0.05,0.05,2,200,10000001,181,2021-06-18T11:01:58Z
0.5,2020-09-30,0.5,0.5,1,100,10000001,182,2021-06-18T11:01:58Z
0.05,2020-09-30,0.05,0.05,1,100,10000001,183,2021-06-18T11:01:58Z
0.05,2020-09-30,0.05,0.05,2,2527,10000001,184,2021-06-18T11:01:58Z
34.5,2020-09-30,34.5,34.5,4,5434,10000001,185,2021-06-18T11:01:58Z
0.02,2020-09-30,0.02,0.02,1,100,10000001,186,2021-06-18T11:01:58Z
0.02,2020-09-30,0.02,0.02,1,100,10000001,190,2021-06-18T11:01:58Z
80,2020-09-30,80,80,1,1000,10000001,192,2021-06-18T11:01:58Z
0.03,2020-09-30,0.03,0.03,1,160,10000001,193,2021-06-18T11:01:58Z
90,2020-09-30,90,90,3,3030,10000001,207,2021-06-18T11:01:58Z
75,2020-09-30,75,75,2,10000,10000001,209,2021-06-18T11:01:58Z
15,2020-09-30,15,15,4,5800,10000001,210,2021-06-18T11:01:58Z
44.98,2020-09-30,44.98,44.98,4,3000,10000001,212,2021-06-18T11:01:58Z
