average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
6,2020-12-05,6,6,36,34816881,10000001,34,2021-06-18T11:01:58Z
14,2020-12-05,14,14,23,3716794,10000001,35,2021-06-18T11:01:58Z
59.11,2020-12-05,86,59.11,22,291929,10000001,36,2021-06-18T11:01:58Z
44.99,2020-12-05,44.99,44.99,19,824456,10000001,37,2021-06-18T11:01:58Z
1199,2020-12-05,1199,1199,17,20892,10000001,38,2021-06-18T11:01:58Z
1699,2020-12-05,1699,1699,18,15922,10000001,39,2021-06-18T11:01:58Z
986,2020-12-05,986,986,18,34962,10000001,40,2021-06-18T11:01:58Z
9.5,2020-12-05,9.5,9.5,2,500,10000001,178,2021-06-18T11:01:58Z
0.07,2020-12-05,0.07,0.07,1,100,10000001,179,2021-06-18T11:01:58Z
0.07,2020-12-05,0.07,0.07,2,200,10000001,180,2021-06-18T11:01:58Z
0.05,2020-12-05,0.05,0.05,2,101,10000001,183,2021-06-18T11:01:58Z
0.12,2020-12-05,0.12,0.12,4,500,10000001,184,2021-06-18T11:01:58Z
0.12,2020-12-05,0.12,0.12,1,100,10000001,185,2021-06-18T11:01:58Z
100,2020-12-05,100,100,1,1,10000001,192,2021-06-18T11:01:58Z
199.1,2020-12-05,199.1,199.1,1,1,10000001,193,2021-06-18T11:01:58Z
100.1,2020-12-05,100.1,100.1,1,1,10000001,196,2021-06-18T11:01:58Z
899.4,2020-12-05,899.4,899.4,1,3000,10000001,202,2021-06-18T11:01:58Z
999.8,2020-12-05,999.8,999.8,1,3000,10000001,203,2021-06-18T11:01:58Z
899.4,2020-12-05,899.4,899.4,1,2000,10000001,204,2021-06-18T11:01:58Z
125,2020-12-05,125,125,2,50100,10000001,205,2021-06-18T11:01:58Z
99,2020-12-05,99,99,1,2000,10000001,206,2021-06-18T11:01:58Z
78,2020-12-05,78,78,3,18000,10000001,207,2021-06-18T11:01:58Z
95.6,2020-12-05,137.8,95.6,4,7090,10000001,208,2021-06-18T11:01:58Z
40,2020-12-05,40,40,1,1000,10000001,209,2021-06-18T11:01:58Z
16.43,2020-12-05,20,14.99,4,4212,10000001,210,2021-06-18T11:01:58Z
100,2020-12-05,100,100,2,4339,10000001,211,2021-06-18T11:01:58Z
30,2020-12-05,30,30,3,21000,10000001,212,2021-06-18T11:01:58Z
22,2020-12-05,30,15,5,8480,10000001,213,2021-06-18T11:01:58Z
32.15,2020-12-05,32.15,32.15,4,8756,10000001,222,2021-06-18T11:01:58Z
124.9,2020-12-05,124.9,124.9,2,7000,10000001,230,2021-06-18T11:01:58Z
801.01,2020-12-05,1000,5.05,2,5,10000001,239,2021-06-18T11:01:58Z
5.05,2020-12-05,5.06,5.05,3,3,10000001,240,2021-06-18T11:01:58Z
417.51,2020-12-05,500,5.05,2,6,10000001,241,2021-06-18T11:01:58Z
1080,2020-12-05,1080,1080,1,4,10000001,242,2021-06-18T11:01:58Z
600.33,2020-12-05,900,1,2,3,10000001,243,2021-06-18T11:01:58Z
6251037.5,2020-12-05,50000000,500,6,8,10000001,245,2021-06-18T11:01:58Z
2068.28,2020-12-05,7763,5.05,4,4,10000001,246,2021-06-18T11:01:58Z
1,2020-12-05,1,1,1,1,10000001,247,2021-06-18T11:01:58Z
1,2020-12-05,1,1,1,1,10000001,248,2021-06-18T11:01:58Z
1,2020-12-05,1,1,1,1,10000001,249,2021-06-18T11:01:58Z
1,2020-12-05,1,1,2,2,10000001,250,2021-06-18T11:01:58Z
1,2020-12-05,1,1,1,3,10000001,254,2021-06-18T11:01:58Z
