average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
1.13,2020-10-22,1.13,1.13,1,748,10000001,20,2021-06-18T11:01:58Z
6.21,2020-10-22,6.84,6.2,45,24187732,10000001,34,2021-06-18T11:01:58Z
8.5,2020-10-22,9.88,5.92,39,10999906,10000001,35,2021-06-18T11:01:58Z
83.52,2020-10-22,90.2,51.05,32,527898,10000001,36,2021-06-18T11:01:58Z
65,2020-10-22,65,65,36,296257,10000001,37,2021-06-18T11:01:58Z
1450,2020-10-22,1450,1450,26,185767,10000001,38,2021-06-18T11:01:58Z
1368,2020-10-22,1368,1368,25,145198,10000001,39,2021-06-18T11:01:58Z
1250,2020-10-22,1250,1250,22,17282,10000001,40,2021-06-18T11:01:58Z
13500,2020-10-22,13500,13500,1,1000,10000001,44,2021-06-18T11:01:58Z
14,2020-10-22,14,14,3,1400,10000001,178,2021-06-18T11:01:58Z
0.05,2020-10-22,0.05,0.05,3,500,10000001,179,2021-06-18T11:01:58Z
0.05,2020-10-22,0.05,0.05,1,100,10000001,180,2021-06-18T11:01:58Z
0.05,2020-10-22,0.05,0.05,3,13671,10000001,181,2021-06-18T11:01:58Z
0.5,2020-10-22,0.5,0.5,3,300,10000001,182,2021-06-18T11:01:58Z
0.05,2020-10-22,0.05,0.05,2,200,10000001,183,2021-06-18T11:01:58Z
25,2020-10-22,25,25,1,1000,10000001,185,2021-06-18T11:01:58Z
64.99,2020-10-22,64.99,64.99,1,15000,10000001,189,2021-06-18T11:01:58Z
55,2020-10-22,55,55,2,6000,10000001,191,2021-06-18T11:01:58Z
76.98,2020-10-22,76.98,76.98,2,6000,10000001,192,2021-06-18T11:01:58Z
50,2020-10-22,50,50,2,15000,10000001,193,2021-06-18T11:01:58Z
345,2020-10-22,345,345,3,1610,10000001,205,2021-06-18T11:01:58Z
50,2020-10-22,50,50,2,22327,10000001,206,2021-06-18T11:01:58Z
81.9,2020-10-22,81.9,81.9,1,36467,10000001,207,2021-06-18T11:01:58Z
88.98,2020-10-22,88.98,88.98,2,54550,10000001,208,2021-06-18T11:01:58Z
80,2020-10-22,80,80,4,43324,10000001,209,2021-06-18T11:01:58Z
15,2020-10-22,15,15,3,11000,10000001,210,2021-06-18T11:01:58Z
10.22,2020-10-22,10.22,10.22,3,900,10000001,211,2021-06-18T11:01:58Z
30,2020-10-22,30,30,2,2100,10000001,212,2021-06-18T11:01:58Z
6.37,2020-10-22,7.5,5.23,2,2000,10000001,215,2021-06-18T11:01:58Z
28,2020-10-22,28,27.9,4,37532,10000001,222,2021-06-18T11:01:58Z
29,2020-10-22,29,29,2,6000,10000001,224,2021-06-18T11:01:58Z
93.2,2020-10-22,93.2,93.2,2,11000,10000001,230,2021-06-18T11:01:58Z
525.4,2020-10-22,974.7,1,6,6,10000001,239,2021-06-18T11:01:58Z
1,2020-10-22,1,1,1,1,10000001,240,2021-06-18T11:01:58Z
234,2020-10-22,700,1,3,3,10000001,241,2021-06-18T11:01:58Z
753.01,2020-10-22,1090,1,4,7,10000001,242,2021-06-18T11:01:58Z
501,2020-10-22,1001,1,6,8,10000001,243,2021-06-18T11:01:58Z
1,2020-10-22,1,1,2,2,10000001,244,2021-06-18T11:01:58Z
1300.67,2020-10-22,3900,1,2,3,10000001,245,2021-06-18T11:01:58Z
