average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
305,2020-07-28,305,305,38,183122,10000001,20,2021-06-18T11:01:58Z
21,2020-07-28,21,21,1,38,10000001,21,2021-06-18T11:01:58Z
4.21,2020-07-28,4.21,4.21,52,233608759,10000001,34,2021-06-18T11:01:58Z
2.89,2020-07-28,2.89,2.89,33,80114013,10000001,35,2021-06-18T11:01:58Z
75,2020-07-28,80,41.15,35,591911,10000001,36,2021-06-18T11:01:58Z
18.5,2020-07-28,18.5,18.5,29,677122,10000001,37,2021-06-18T11:01:58Z
510,2020-07-28,510,510,23,54379,10000001,38,2021-06-18T11:01:58Z
1584,2020-07-28,1584,1584,15,1632,10000001,39,2021-06-18T11:01:58Z
402.2,2020-07-28,402.2,402.2,13,2589,10000001,40,2021-06-18T11:01:58Z
1.5,2020-07-28,1.5,1.5,1,300,10000001,178,2021-06-18T11:01:58Z
9.56,2020-07-28,9.56,9.56,3,12000,10000001,181,2021-06-18T11:01:58Z
10,2020-07-28,10,10,2,45000,10000001,182,2021-06-18T11:01:58Z
69,2020-07-28,69,69,1,3000,10000001,184,2021-06-18T11:01:58Z
29.99,2020-07-28,29.99,29.99,5,10800,10000001,185,2021-06-18T11:01:58Z
55,2020-07-28,55,55,1,15000,10000001,189,2021-06-18T11:01:58Z
0.01,2020-07-28,0.01,0.01,1,100,10000001,205,2021-06-18T11:01:58Z
70,2020-07-28,70,70,3,6000,10000001,207,2021-06-18T11:01:58Z
50,2020-07-28,50,50,1,2000,10000001,209,2021-06-18T11:01:58Z
18.45,2020-07-28,23.9,13,3,10000,10000001,210,2021-06-18T11:01:58Z
12.5,2020-07-28,12.5,12.5,2,3500,10000001,211,2021-06-18T11:01:58Z
45,2020-07-28,45,45,3,8240,10000001,212,2021-06-18T11:01:58Z
20,2020-07-28,20,20,4,16900,10000001,213,2021-06-18T11:01:58Z
23.97,2020-07-28,23.97,23.97,1,2000,10000001,220,2021-06-18T11:01:58Z
15.1,2020-07-28,15.1,15.1,5,24038,10000001,222,2021-06-18T11:01:58Z
20,2020-07-28,20,20,1,500,10000001,223,2021-06-18T11:01:58Z
50,2020-07-28,50,50,1,20000,10000001,229,2021-06-18T11:01:58Z
3000,2020-07-28,3000,3000,4,534,10000001,239,2021-06-18T11:01:58Z
15,2020-07-28,15,15,2,4,10000001,240,2021-06-18T11:01:58Z
36,2020-07-28,36,36,1,1,10000001,242,2021-06-18T11:01:58Z
2478.57,2020-07-28,17200,25,5,7,10000001,243,2021-06-18T11:01:58Z
20000,2020-07-28,20000,20000,2,20,10000001,246,2021-06-18T11:01:58Z
91,2020-07-28,91,91,1,1,10000001,251,2021-06-18T11:01:58Z
219.5,2020-07-28,219.5,219.5,1,700,10000001,267,2021-06-18T11:01:58Z
21000,2020-07-28,21000,21000,4,10,10000001,377,2021-06-18T11:01:58Z
2999000,2020-07-28,2999000,2999000,1,1,10000001,380,2021-06-18T11:01:58Z
106666.67,2020-07-28,110000,100000,3,3,10000001,434,2021-06-18T11:01:58Z
55600,2020-07-28,60000,38000,3,5,10000001,439,2021-06-18T11:01:58Z
4080000,2020-07-28,4080000,4080000,1,1,10000001,440,2021-06-18T11:01:58Z
88127.5,2020-07-28,90000,82510,2,4,10000001,442,2021-06-18T11:01:58Z
11346.67,2020-07-28,13040,10500,3,3,10000001,444,2021-06-18T11:01:58Z
989450,2020-07-28,1699000,279900,2,2,10000001,448,2021-06-18T11:01:58Z
54000,2020-07-28,57000,45000,2,4,10000001,452,2021-06-18T11:01:58Z
1669000,2020-07-28,1895000,1443000,5,8,10000001,482,2021-06-18T11:01:58Z
17815,2020-07-28,21000,17500,5,8,10000001,483,2021-06-18T11:01:58Z
10010,2020-07-28,10010,10010,2,8,10000001,484,2021-06-18T11:01:58Z
30000,2020-07-28,30000,30000,1,1,10000001,486,2021-06-18T11:01:58Z
50000,2020-07-28,50000,50000,1,2,10000001,487,2021-06-18T11:01:58Z
19423.58,2020-07-28,22180,128.6,2,8,10000001,499,2021-06-18T11:01:58Z
340300,2020-07-28,340300,340300,3,6,10000001,519,2021-06-18T11:01:58Z
21000,2020-07-28,21000,21000,1,1,10000001,523,2021-06-18T11:01:58Z
1475000,2020-07-28,1475000,1475000,1,1,10000001,527,2021-06-18T11:01:58Z
16000,2020-07-28,16000,16000,2,2,10000001,562,2021-06-18T11:01:58Z
