average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
6.36,2020-11-26,6.36,6.36,44,64846007,10000001,34,2021-06-18T11:01:58Z
9.72,2020-11-26,9.72,9.72,24,1598834,10000001,35,2021-06-18T11:01:58Z
85.1,2020-11-26,85.1,85.1,25,480956,10000001,36,2021-06-18T11:01:58Z
49,2020-11-26,49,49,20,607684,10000001,37,2021-06-18T11:01:58Z
811,2020-11-26,811,811,19,55664,10000001,38,2021-06-18T11:01:58Z
1230,2020-11-26,1230,1230,17,32490,10000001,39,2021-06-18T11:01:58Z
586,2020-11-26,586,586,14,4088,10000001,40,2021-06-18T11:01:58Z
375.5,2020-11-26,375.5,375.5,1,10,10000001,43,2021-06-18T11:01:58Z
14,2020-11-26,14,14,2,48454,10000001,178,2021-06-18T11:01:58Z
0.07,2020-11-26,0.07,0.07,1,300,10000001,179,2021-06-18T11:01:58Z
0.07,2020-11-26,0.07,0.07,4,596,10000001,180,2021-06-18T11:01:58Z
0.07,2020-11-26,0.07,0.07,2,200,10000001,181,2021-06-18T11:01:58Z
17.5,2020-11-26,17.5,17.5,5,1898,10000001,182,2021-06-18T11:01:58Z
0.05,2020-11-26,0.05,0.05,2,300,10000001,183,2021-06-18T11:01:58Z
0.12,2020-11-26,0.12,0.12,1,100,10000001,184,2021-06-18T11:01:58Z
60,2020-11-26,60,60,1,100,10000001,185,2021-06-18T11:01:58Z
90.01,2020-11-26,90.01,90.01,1,40000,10000001,189,2021-06-18T11:01:58Z
55,2020-11-26,55,55,1,3000,10000001,191,2021-06-18T11:01:58Z
400,2020-11-26,400,400,1,2000,10000001,201,2021-06-18T11:01:58Z
389,2020-11-26,389,389,1,7420,10000001,202,2021-06-18T11:01:58Z
48,2020-11-26,48,48,3,305464,10000001,206,2021-06-18T11:01:58Z
129,2020-11-26,129,129,6,32671,10000001,207,2021-06-18T11:01:58Z
95,2020-11-26,95,95,2,25000,10000001,208,2021-06-18T11:01:58Z
79.99,2020-11-26,79.99,79.99,2,70000,10000001,209,2021-06-18T11:01:58Z
16,2020-11-26,16,16,6,1800,10000001,210,2021-06-18T11:01:58Z
27.5,2020-11-26,27.5,27.5,5,16200,10000001,211,2021-06-18T11:01:58Z
35,2020-11-26,35,35,9,16100,10000001,212,2021-06-18T11:01:58Z
22,2020-11-26,22,22,4,1800,10000001,213,2021-06-18T11:01:58Z
5.1,2020-11-26,5.1,5.1,1,25000,10000001,215,2021-06-18T11:01:58Z
4.02,2020-11-26,4.02,4.02,1,5000,10000001,217,2021-06-18T11:01:58Z
8.35,2020-11-26,8.35,8.35,1,5000,10000001,219,2021-06-18T11:01:58Z
20,2020-11-26,20,20,1,5000,10000001,220,2021-06-18T11:01:58Z
30,2020-11-26,30,30,4,6000,10000001,222,2021-06-18T11:01:58Z
0.01,2020-11-26,0.01,0.01,1,100,10000001,229,2021-06-18T11:01:58Z
149,2020-11-26,149,149,1,1000,10000001,230,2021-06-18T11:01:58Z
5.05,2020-11-26,5.05,5.05,1,1,10000001,239,2021-06-18T11:01:58Z
5.05,2020-11-26,5.05,5.05,1,1,10000001,240,2021-06-18T11:01:58Z
1,2020-11-26,1,1,2,3,10000001,243,2021-06-18T11:01:58Z
5.05,2020-11-26,5.05,5.05,1,1,10000001,244,2021-06-18T11:01:58Z
2766.67,2020-11-26,3900,500,3,6,10000001,245,2021-06-18T11:01:58Z
9000,2020-11-26,9000,9000,1,5,10000001,254,2021-06-18T11:01:58Z
4.2,2020-11-26,8.99,4,4,1735,10000001,266,2021-06-18T11:01:58Z
0.01,2020-11-26,0.01,0.01,2,200,10000001,269,2021-06-18T11:01:58Z
19990,2020-11-26,19990,19990,1,1,10000001,377,2021-06-18T11:01:58Z
750000,2020-11-26,750000,750000,1,1,10000001,400,2021-06-18T11:01:58Z
116733.33,2020-11-26,138100,106050,3,3,10000001,434,2021-06-18T11:01:58Z
2000000,2020-11-26,3000000,1000000,2,2,10000001,438,2021-06-18T11:01:58Z
48000,2020-11-26,61000,35000,2,2,10000001,439,2021-06-18T11:01:58Z
5898000,2020-11-26,5898000,5898000,1,1,10000001,440,2021-06-18T11:01:58Z
17000,2020-11-26,17000,17000,1,1,10000001,444,2021-06-18T11:01:58Z
1451225,2020-11-26,1898000,308900,3,4,10000001,448,2021-06-18T11:01:58Z
9999,2020-11-26,9999,9999,1,4,10000001,450,2021-06-18T11:01:58Z
500000,2020-11-26,500000,500000,2,10,10000001,459,2021-06-18T11:01:58Z
1140000,2020-11-26,2000000,925000,5,10,10000001,482,2021-06-18T11:01:58Z
21300,2020-11-26,25000,2500,4,5,10000001,483,2021-06-18T11:01:58Z
30000,2020-11-26,30000,30000,1,100,10000001,486,2021-06-18T11:01:58Z
30000,2020-11-26,30000,30000,1,6,10000001,499,2021-06-18T11:01:58Z
118100,2020-11-26,120800,110000,2,8,10000001,501,2021-06-18T11:01:58Z
62740,2020-11-26,64110,60000,3,3,10000001,523,2021-06-18T11:01:58Z
95000,2020-11-26,95000,95000,1,1,10000001,526,2021-06-18T11:01:58Z
801100,2020-11-26,1100000,502200,2,2,10000001,527,2021-06-18T11:01:58Z
85000,2020-11-26,85000,85000,1,12,10000001,530,2021-06-18T11:01:58Z
5250,2020-11-26,5250,5250,1,8,10000001,561,2021-06-18T11:01:58Z
13120,2020-11-26,13120,13120,2,450,10000001,562,2021-06-18T11:01:58Z
52130,2020-11-26,52130,52130,1,8,10000001,565,2021-06-18T11:01:58Z
499000,2020-11-26,499000,499000,1,1,10000001,570,2021-06-18T11:01:58Z
219888.89,2020-11-26,230000,139000,3,18,10000001,578,2021-06-18T11:01:58Z
290000,2020-11-26,290000,290000,1,1,10000001,582,2021-06-18T11:01:58Z
395000,2020-11-26,395000,395000,1,1,10000001,583,2021-06-18T11:01:58Z
500000,2020-11-26,500000,500000,1,1,10000001,586,2021-06-18T11:01:58Z
450000,2020-11-26,450000,450000,1,1,10000001,593,2021-06-18T11:01:58Z
450000,2020-11-26,450000,450000,1,1,10000001,597,2021-06-18T11:01:58Z
249000,2020-11-26,249000,249000,1,1,10000001,598,2021-06-18T11:01:58Z
300000,2020-11-26,500000,100000,2,2,10000001,603,2021-06-18T11:01:58Z
645833.33,2020-11-26,675000,500000,3,6,10000001,605,2021-06-18T11:01:58Z
500000,2020-11-26,500000,500000,3,3,10000001,607,2021-06-18T11:01:58Z
11900000,2020-11-26,11900000,11900000,1,1,10000001,620,2021-06-18T11:01:58Z
13833333.33,2020-11-26,14500000,12500000,3,3,10000001,621,2021-06-18T11:01:58Z
13750000,2020-11-26,13750000,13750000,1,1,10000001,628,2021-06-18T11:01:58Z
10625000,2020-11-26,12500000,8750000,4,4,10000001,629,2021-06-18T11:01:58Z
10000000,2020-11-26,15000000,5000000,2,2,10000001,631,2021-06-18T11:01:58Z
107000000,2020-11-26,107000000,107000000,1,1,10000001,638,2021-06-18T11:01:58Z
230000000,2020-11-26,230000000,230000000,1,1,10000001,641,2021-06-18T11:01:58Z
195000000,2020-11-26,195000000,195000000,1,1,10000001,644,2021-06-18T11:01:58Z
260000000,2020-11-26,260000000,260000000,1,1,10000001,645,2021-06-18T11:01:58Z
2096000,2020-11-26,2200000,1992000,2,2,10000001,650,2021-06-18T11:01:58Z
2499000,2020-11-26,2499000,2499000,2,2,10000001,652,2021-06-18T11:01:58Z
2500000,2020-11-26,2500000,2500000,2,2,10000001,654,2021-06-18T11:01:58Z
2200000,2020-11-26,2200000,2200000,1,1,10000001,656,2021-06-18T11:01:58Z
3000000,2020-11-26,3000000,3000000,1,1,10000001,657,2021-06-18T11:01:58Z
26000,2020-11-26,50000,20000,5,5,10000001,672,2021-06-18T11:01:58Z
6000000,2020-11-26,6000000,6000000,1,1,10000001,803,2021-06-18T11:01:58Z
1101000,2020-11-26,1101000,1101000,1,1,10000001,808,2021-06-18T11:01:58Z
65000,2020-11-26,65000,65000,1,1,10000001,1185,2021-06-18T11:01:58Z
68000,2020-11-26,68000,68000,1,1,10000001,1195,2021-06-18T11:01:58Z
130957.14,2020-11-26,138900,125000,2,7,10000001,1201,2021-06-18T11:01:58Z
29,2020-11-26,29,29,5,46690,10000001,1224,2021-06-18T11:01:58Z
220.1,2020-11-26,220.1,220.1,1,54,10000001,1226,2021-06-18T11:01:58Z
12,2020-11-26,12,12,2,23588,10000001,1228,2021-06-18T11:01:58Z
19,2020-11-26,19,19,12,1192354,10000001,1230,2021-06-18T11:01:58Z
1000000,2020-11-26,1000000,1000000,1,1,10000001,1236,2021-06-18T11:01:58Z
31950,2020-11-26,33900,30000,4,4,10000001,1244,2021-06-18T11:01:58Z
1800000,2020-11-26,1800000,1800000,1,2,10000001,1248,2021-06-18T11:01:58Z
25670,2020-11-26,25670,25670,1,1,10000001,1304,2021-06-18T11:01:58Z
5157.14,2020-11-26,5900,700,2,7,10000001,1317,2021-06-18T11:01:58Z
1998225,2020-11-26,4996000,725000,5,16,10000001,1319,2021-06-18T11:01:58Z
37155.56,2020-11-26,46400,36000,5,9,10000001,1403,2021-06-18T11:01:58Z
643723.81,2020-11-26,770000,550000,8,21,10000001,1405,2021-06-18T11:01:58Z
1022500,2020-11-26,1045000,1000000,2,4,10000001,1422,2021-06-18T11:01:58Z
1187000,2020-11-26,1187000,1187000,1,1,10000001,1436,2021-06-18T11:01:58Z
938100,2020-11-26,938100,938100,2,2,10000001,1447,2021-06-18T11:01:58Z
3990000,2020-11-26,3990000,3990000,1,1,10000001,1541,2021-06-18T11:01:58Z
95,2020-11-26,95,95,1,1000,10000001,1816,2021-06-18T11:01:58Z
0.01,2020-11-26,0.01,0.01,1,100,10000001,1824,2021-06-18T11:01:58Z
1102500,2020-11-26,1705000,500000,2,2,10000001,1952,2021-06-18T11:01:58Z
70000,2020-11-26,70000,70000,1,3,10000001,1977,2021-06-18T11:01:58Z
75000,2020-11-26,75000,75000,2,2,10000001,1986,2021-06-18T11:01:58Z
0.02,2020-11-26,0.02,0.02,1,1,10000001,2024,2021-06-18T11:01:58Z
916300,2020-11-26,916300,916300,1,5,10000001,2032,2021-06-18T11:01:58Z
