average,date,highest,lowest,order_count,volume,region_id,type_id,http_last_modified
125.1,2020-08-03,125.1,125.1,1,30,10000001,19,2021-06-18T11:01:58Z
330,2020-08-03,330,330,12,242379,10000001,20,2021-06-18T11:01:58Z
21.01,2020-08-03,21.01,21.01,1,89,10000001,21,2021-06-18T11:01:58Z
5.46,2020-08-03,5.46,5.46,58,17063238,10000001,34,2021-06-18T11:01:58Z
3.85,2020-08-03,3.85,3.85,39,1199973,10000001,35,2021-06-18T11:01:58Z
85,2020-08-03,85,85,37,1539349,10000001,36,2021-06-18T11:01:58Z
34,2020-08-03,34,34,36,1117583,10000001,37,2021-06-18T11:01:58Z
450,2020-08-03,450,450,38,365901,10000001,38,2021-06-18T11:01:58Z
999,2020-08-03,999,999,33,569303,10000001,39,2021-06-18T11:01:58Z
798.9,2020-08-03,798.9,400,23,8688,10000001,40,2021-06-18T11:01:58Z
30,2020-08-03,30,30,2,1591,10000001,185,2021-06-18T11:01:58Z
18,2020-08-03,18,18,1,139,10000001,186,2021-06-18T11:01:58Z
18,2020-08-03,18,18,1,200,10000001,187,2021-06-18T11:01:58Z
43.69,2020-08-03,43.69,43.69,1,240,10000001,190,2021-06-18T11:01:58Z
70,2020-08-03,70,70,1,200,10000001,193,2021-06-18T11:01:58Z
400,2020-08-03,400,400,1,3000,10000001,202,2021-06-18T11:01:58Z
349.9,2020-08-03,349.9,349.9,1,1000,10000001,203,2021-06-18T11:01:58Z
899.5,2020-08-03,899.5,899.5,3,13000,10000001,204,2021-06-18T11:01:58Z
71.5,2020-08-03,71.5,71.5,1,1200,10000001,206,2021-06-18T11:01:58Z
70,2020-08-03,70,70,2,6500,10000001,207,2021-06-18T11:01:58Z
95,2020-08-03,105,85,2,10000,10000001,208,2021-06-18T11:01:58Z
62,2020-08-03,62,62,5,30716,10000001,209,2021-06-18T11:01:58Z
15,2020-08-03,15,15,1,200,10000001,210,2021-06-18T11:01:58Z
29.99,2020-08-03,29.99,29.99,1,1800,10000001,212,2021-06-18T11:01:58Z
20.05,2020-08-03,20.05,20.05,2,3000,10000001,213,2021-06-18T11:01:58Z
12.51,2020-08-03,12.51,12.51,1,1200,10000001,221,2021-06-18T11:01:58Z
28.5,2020-08-03,28.5,28.5,4,2200,10000001,222,2021-06-18T11:01:58Z
20,2020-08-03,20,20,1,1000,10000001,223,2021-06-18T11:01:58Z
31.65,2020-08-03,31.65,31.65,1,2000,10000001,228,2021-06-18T11:01:58Z
170,2020-08-03,170,170,1,5000,10000001,238,2021-06-18T11:01:58Z
36.67,2020-08-03,36.67,36.67,2,2,10000001,239,2021-06-18T11:01:58Z
15,2020-08-03,15,15,2,2,10000001,240,2021-06-18T11:01:58Z
36,2020-08-03,36,36,3,3,10000001,242,2021-06-18T11:01:58Z
1000,2020-08-03,1000,1000,1,1,10000001,260,2021-06-18T11:01:58Z
50000,2020-08-03,50000,50000,1,1,10000001,377,2021-06-18T11:01:58Z
575000,2020-08-03,575000,575000,1,5,10000001,380,2021-06-18T11:01:58Z
897100,2020-08-03,897100,897100,1,1,10000001,394,2021-06-18T11:01:58Z
97000,2020-08-03,97000,97000,2,2,10000001,434,2021-06-18T11:01:58Z
653500,2020-08-03,653500,653500,1,1,10000001,438,2021-06-18T11:01:58Z
50310,2020-08-03,50310,50310,1,1,10000001,439,2021-06-18T11:01:58Z
83750,2020-08-03,90000,77500,2,2,10000001,442,2021-06-18T11:01:58Z
143800,2020-08-03,143800,143800,1,1,10000001,443,2021-06-18T11:01:58Z
